source_id,target_id,src_profile,tgt_profile,relationship_level,tweet_id
2692,4921,"Feature_Vector: [1.0, 1.0, 0.0, 0.4325993061065674, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.6478599309921265, 0.0]",1,tweet_4921_681300
999,6233,"Feature_Vector: [1.0, 1.0, 0.0, 0.40705132484436035, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3770450949668884, 0.0]",3,tweet_6233_1076903
9805,6600,"Feature_Vector: [1.0, 1.0, 0.0, 0.39644941687583923, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.24127022922039032, 0.0]",1,tweet_6600_274098
834,3354,"Feature_Vector: [1.0, 1.0, 0.0, 0.4117835462093353, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.39059993624687195, 0.0]",1,tweet_3354_315742
1372,2466,"Feature_Vector: [1.0, 1.0, 0.0, 0.37939608097076416, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.38740143179893494, 0.0]",3,tweet_2466_1087657
4631,10061,"Feature_Vector: [0.0, 0.0, 0.0, 0.410549521446228, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.44282346963882446, 0.0]",2,tweet_10061_1333145
989,7496,"Feature_Vector: [1.0, 1.0, 0.0, 0.29233288764953613, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.36069756746292114, 0.0]",1,tweet_7496_321215
1288,898,"Feature_Vector: [1.0, 1.0, 0.0, 0.171758234500885, 1.0]","Feature_Vector: [1.0, 0.0, 1.0, 0.5635563731193542, 0.0]",1,tweet_898_331756
2104,8758,"Feature_Vector: [1.0, 0.0, 0.0, 0.33981576561927795, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.4210493266582489, 0.0]",3,tweet_8758_1281940
6653,4665,"Feature_Vector: [1.0, 1.0, 0.0, 0.3710933029651642, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.37225815653800964, 0.0]",1,tweet_4665_531986
9126,179,"Feature_Vector: [0.0, 0.0, 1.0, 0.6790704727172852, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.36479073762893677, 0.0]",1,tweet_179_252500
4949,3879,"Feature_Vector: [1.0, 1.0, 0.0, 0.3507128953933716, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.25509893894195557, 0.0]",1,tweet_3879_139375
1467,3277,"Feature_Vector: [1.0, 1.0, 0.0, 0.3168729245662689, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3410319685935974, 0.0]",1,tweet_3277_38807
5733,10184,"Feature_Vector: [1.0, 1.0, 0.0, 0.25259116291999817, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.28416216373443604, 0.0]",2,tweet_10184_1183866
5499,5851,"Feature_Vector: [1.0, 0.0, 0.0, 0.44557181000709534, 0.0]","Feature_Vector: [0.0, 0.0, 1.0, 0.49843454360961914, 0.0]",1,tweet_5851_489440
2065,4465,"Feature_Vector: [0.0, 0.0, 0.0, 0.42540788650512695, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.507815420627594, 0.0]",1,tweet_4465_362336
1167,311,"Feature_Vector: [1.0, 1.0, 0.0, 0.3130538761615753, 0.0]","Feature_Vector: [1.0, 1.0, 1.0, 0.742438018321991, 0.0]",1,tweet_311_666324
2185,1403,"Feature_Vector: [1.0, 1.0, 0.0, 0.36677345633506775, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3217816948890686, 0.0]",1,tweet_1403_367156
4447,7559,"Feature_Vector: [1.0, 1.0, 0.0, 0.1097794845700264, 0.0]","Feature_Vector: [1.0, 0.0, 1.0, 0.46280887722969055, 0.0]",2,tweet_7559_1329246
960,7006,"Feature_Vector: [1.0, 1.0, 1.0, 0.5941839218139648, 0.0]","Feature_Vector: [1.0, 0.0, 1.0, 0.5962151288986206, 0.0]",1,tweet_7006_977712
3487,3487,"Feature_Vector: [1.0, 1.0, 1.0, 0.6530749797821045, 0.0]","Feature_Vector: [1.0, 1.0, 1.0, 0.6530749797821045, 0.0]",1,tweet_3487_822838
7787,8781,"Feature_Vector: [1.0, 1.0, 0.0, 0.45477497577667236, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.37187254428863525, 0.0]",3,tweet_8781_1206868
3155,9092,"Feature_Vector: [0.0, 0.0, 0.0, 0.25448235869407654, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.4252278506755829, 0.0]",3,tweet_9092_1304571
443,3941,"Feature_Vector: [1.0, 0.0, 0.0, 0.44474852085113525, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.1299014687538147, 0.0]",2,tweet_3941_1231782
1006,8238,"Feature_Vector: [1.0, 0.0, 0.0, 0.2945089638233185, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.40008413791656494, 0.0]",2,tweet_8238_1250623
5184,5184,"Feature_Vector: [1.0, 0.0, 0.0, 0.48144155740737915, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.48144155740737915, 0.0]",1,tweet_5184_861820
7682,3386,"Feature_Vector: [0.0, 0.0, 0.0, 0.49284616112709045, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.3910974860191345, 0.0]",1,tweet_3386_214547
4029,6639,"Feature_Vector: [1.0, 1.0, 0.0, 0.36617738008499146, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.2945089638233185, 0.0]",2,tweet_6639_1152496
3507,3507,"Feature_Vector: [1.0, 0.0, 0.0, 0.5261502861976624, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.5261502861976624, 0.0]",1,tweet_3507_824328
1681,7914,"Feature_Vector: [1.0, 1.0, 0.0, 0.4343392848968506, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3304781913757324, 0.0]",1,tweet_7914_45443
2031,2031,"Feature_Vector: [1.0, 0.0, 0.0, 0.4753172993659973, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.4753172993659973, 0.0]",1,tweet_2031_791819
6017,5767,"Feature_Vector: [0.0, 0.0, 0.0, 0.4538053572177887, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3886796832084656, 0.0]",1,tweet_5767_507739
5792,6547,"Feature_Vector: [1.0, 1.0, 0.0, 0.2890709638595581, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.426769495010376, 0.0]",1,tweet_6547_1353000
3290,8711,"Feature_Vector: [1.0, 0.0, 0.0, 0.4445568025112152, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3802030086517334, 0.0]",1,tweet_8711_818561
3602,3602,"Feature_Vector: [1.0, 1.0, 0.0, 0.3744441866874695, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3744441866874695, 0.0]",1,tweet_3602_828421
2669,5115,"Feature_Vector: [1.0, 1.0, 0.0, 0.4126541018486023, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.37539729475975037, 0.0]",3,tweet_5115_1294370
5241,5241,"Feature_Vector: [0.0, 0.0, 0.0, 0.5940559506416321, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.5940559506416321, 0.0]",1,tweet_5241_863367
5913,1332,"Feature_Vector: [1.0, 1.0, 0.0, 0.39734333753585815, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.33206745982170105, 0.0]",1,tweet_1332_166105
12,6903,"Feature_Vector: [1.0, 1.0, 0.0, 0.47015267610549927, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.5009790658950806, 0.0]",1,tweet_6903_287537
7568,7914,"Feature_Vector: [1.0, 1.0, 0.0, 0.38942164182662964, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3304781913757324, 0.0]",3,tweet_7914_1204969
6089,8366,"Feature_Vector: [1.0, 1.0, 0.0, 0.424471378326416, 0.0]","Feature_Vector: [0.0, 0.0, 1.0, 0.6133937239646912, 0.0]",1,tweet_8366_884981
4858,4488,"Feature_Vector: [1.0, 1.0, 0.0, 0.43587809801101685, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.41960689425468445, 0.0]",1,tweet_4488_464568
8466,8812,"Feature_Vector: [1.0, 1.0, 0.0, 0.4662090837955475, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.21475474536418915, 0.0]",1,tweet_8812_234197
158,5035,"Feature_Vector: [1.0, 1.0, 0.0, 0.20216599106788635, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.2977674603462219, 0.0]",3,tweet_5035_1052628
8186,8186,"Feature_Vector: [1.0, 0.0, 1.0, 0.5432462096214294, 0.0]","Feature_Vector: [1.0, 0.0, 1.0, 0.5432462096214294, 0.0]",1,tweet_8186_925687
1442,6511,"Feature_Vector: [0.0, 0.0, 0.0, 0.46704593300819397, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.466063529253006, 0.0]",1,tweet_6511_37450
6903,1914,"Feature_Vector: [1.0, 1.0, 0.0, 0.5009790658950806, 0.0]","Feature_Vector: [0.0, 0.0, 1.0, 0.7615982294082642, 0.0]",1,tweet_1914_723078
9803,4976,"Feature_Vector: [1.0, 1.0, 0.0, 0.3866918087005615, 0.0]","Feature_Vector: [1.0, 0.0, 1.0, 0.6902287602424622, 0.0]",1,tweet_4976_642590
2218,8833,"Feature_Vector: [1.0, 1.0, 0.0, 0.3280070424079895, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.28973859548568726, 0.0]",1,tweet_8833_368393
1209,8286,"Feature_Vector: [0.0, 0.0, 0.0, 0.4164310693740845, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.29137393832206726, 0.0]",2,tweet_8286_1257208
1803,1806,"Feature_Vector: [1.0, 1.0, 0.0, 0.3454034626483917, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.28230011463165283, 0.0]",3,tweet_1806_1100719
7831,976,"Feature_Vector: [1.0, 1.0, 0.0, 0.43074944615364075, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3838856816291809, 0.0]",1,tweet_976_917443
9063,4419,"Feature_Vector: [1.0, 1.0, 0.0, 0.42835551500320435, 0.0]","Feature_Vector: [1.0, 0.0, 1.0, 0.6949173808097839, 0.0]",1,tweet_4419_613013
6947,3478,"Feature_Vector: [1.0, 0.0, 0.0, 0.5749638676643372, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.28736642003059387, 0.0]",1,tweet_3478_194627
4289,9280,"Feature_Vector: [1.0, 1.0, 0.0, 0.19373008608818054, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.32612350583076477, 0.0]",2,tweet_9280_1326420
558,8326,"Feature_Vector: [1.0, 1.0, 0.0, 0.473571240901947, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.4364475905895233, 0.0]",4,tweet_8326_1064847
4368,4368,"Feature_Vector: [1.0, 0.0, 0.0, 0.424835741519928, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.424835741519928, 0.0]",1,tweet_4368_845284
8954,5972,"Feature_Vector: [1.0, 1.0, 0.0, 0.30679193139076233, 0.0]","Feature_Vector: [0.0, 0.0, 1.0, 0.7603167295455933, 0.0]",1,tweet_5972_609665
6089,8314,"Feature_Vector: [1.0, 1.0, 0.0, 0.424471378326416, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.39234939217567444, 0.0]",1,tweet_8314_511579
4386,8781,"Feature_Vector: [1.0, 1.0, 0.0, 0.3761196732521057, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.37187254428863525, 0.0]",3,tweet_8781_1159095
3418,9798,"Feature_Vector: [1.0, 1.0, 0.0, 0.25808456540107727, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.2957157492637634, 0.0]",2,tweet_9798_1310137
1135,9373,"Feature_Vector: [1.0, 1.0, 0.0, 0.3946179151535034, 0.0]","Feature_Vector: [1.0, 1.0, 1.0, 0.5133413672447205, 0.0]",1,tweet_9373_28941
9416,9739,"Feature_Vector: [1.0, 1.0, 0.0, 0.21720798313617706, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.5267648696899414, 0.0]",1,tweet_9739_625021
3851,7994,"Feature_Vector: [1.0, 1.0, 0.0, 0.29974713921546936, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.447020024061203, 0.0]",1,tweet_7994_836129
8647,421,"Feature_Vector: [1.0, 1.0, 0.0, 0.41529563069343567, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.406551331281662, 0.0]",1,tweet_421_239177
5845,7369,"Feature_Vector: [1.0, 1.0, 0.0, 0.3346705436706543, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.4846026599407196, 0.0]",4,tweet_7369_1185266
3309,3663,"Feature_Vector: [1.0, 1.0, 0.0, 0.27460435032844543, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3789200186729431, 0.0]",1,tweet_3663_410684
3961,7876,"Feature_Vector: [0.0, 0.0, 0.0, 0.5135049819946289, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.437930703163147, 0.0]",2,tweet_7876_1320207
7752,7045,"Feature_Vector: [1.0, 1.0, 0.0, 0.34453070163726807, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3495754599571228, 0.0]",1,tweet_7045_216670
2624,6314,"Feature_Vector: [1.0, 1.0, 0.0, 0.385670930147171, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.2894057631492615, 0.0]",3,tweet_6314_1293414
2227,7709,"Feature_Vector: [1.0, 1.0, 0.0, 0.2052162140607834, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.439352422952652, 0.0]",1,tweet_7709_676824
6830,9839,"Feature_Vector: [0.0, 0.0, 0.0, 0.4577229619026184, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.44060203433036804, 0.0]",1,tweet_9839_536518
6276,1528,"Feature_Vector: [1.0, 1.0, 0.0, 0.35709431767463684, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.38681069016456604, 0.0]",1,tweet_1528_518511
4701,4778,"Feature_Vector: [1.0, 0.0, 0.0, 0.3296664357185364, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.25322863459587097, 0.0]",2,tweet_4778_1334440
9187,8104,"Feature_Vector: [1.0, 1.0, 0.0, 0.3498047888278961, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.5237593054771423, 0.0]",1,tweet_8104_617063
9166,3327,"Feature_Vector: [1.0, 1.0, 0.0, 0.34527960419654846, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.5032330751419067, 0.0]",1,tweet_3327_615577
7979,3314,"Feature_Vector: [1.0, 1.0, 1.0, 0.6087115406990051, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.5308056473731995, 0.0]",1,tweet_3314_575647
9169,1741,"Feature_Vector: [1.0, 1.0, 0.0, 0.40309977531433105, 0.0]","Feature_Vector: [1.0, 1.0, 1.0, 0.7139075994491577, 0.0]",1,tweet_1741_743707
139,5645,"Feature_Vector: [1.0, 1.0, 0.0, 0.3112698197364807, 0.0]","Feature_Vector: [1.0, 1.0, 1.0, 0.6468755006790161, 0.0]",1,tweet_5645_294101
700,9313,"Feature_Vector: [1.0, 1.0, 0.0, 0.3096611201763153, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.27631404995918274, 0.0]",1,tweet_9313_17237
45,4755,"Feature_Vector: [0.0, 0.0, 0.0, 0.4596169590950012, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.5802642703056335, 0.0]",1,tweet_4755_289536
7035,7035,"Feature_Vector: [1.0, 1.0, 1.0, 0.4686276614665985, 0.0]","Feature_Vector: [1.0, 1.0, 1.0, 0.4686276614665985, 0.0]",1,tweet_7035_901071
9946,7129,"Feature_Vector: [1.0, 1.0, 0.0, 0.34478145837783813, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.48933982849121094, 0.0]",1,tweet_7129_647757
1565,5912,"Feature_Vector: [1.0, 1.0, 0.0, 0.3780944049358368, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.47838640213012695, 0.0]",3,tweet_5912_1093699
5871,5871,"Feature_Vector: [1.0, 1.0, 0.0, 0.486001580953598, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.486001580953598, 0.0]",1,tweet_5871_880514
3139,4630,"Feature_Vector: [1.0, 0.0, 0.0, 0.3759039342403412, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3704620599746704, 0.0]",3,tweet_4630_1132202
6369,9779,"Feature_Vector: [1.0, 1.0, 0.0, 0.4554474353790283, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3368716835975647, 0.0]",3,tweet_9779_1193654
4837,4113,"Feature_Vector: [1.0, 1.0, 0.0, 0.3756873607635498, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3426138162612915, 0.0]",1,tweet_4113_135075
7827,7827,"Feature_Vector: [1.0, 1.0, 0.0, 0.4127291738986969, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.4127291738986969, 0.0]",1,tweet_7827_917243
5038,9616,"Feature_Vector: [1.0, 1.0, 0.0, 0.23636144399642944, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.14888373017311096, 1.0]",2,tweet_9616_1340591
6915,5750,"Feature_Vector: [1.0, 1.0, 0.0, 0.14888373017311096, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.6121757626533508, 0.0]",1,tweet_5750_539320
1461,3441,"Feature_Vector: [1.0, 0.0, 0.0, 0.4077111780643463, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.49038165807724, 0.0]",1,tweet_3441_339015
4673,4673,"Feature_Vector: [1.0, 1.0, 0.0, 0.31947872042655945, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.31947872042655945, 0.0]",1,tweet_4673_853322
9330,442,"Feature_Vector: [1.0, 1.0, 0.0, 0.39186280965805054, 0.0]","Feature_Vector: [1.0, 0.0, 1.0, 0.5874552130699158, 0.0]",1,tweet_442_620957
1357,9817,"Feature_Vector: [1.0, 0.0, 0.0, 0.32064196467399597, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.2907254993915558, 0.0]",1,tweet_9817_34822
6975,1150,"Feature_Vector: [1.0, 1.0, 0.0, 0.3639955222606659, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.34427887201309204, 0.0]",1,tweet_1150_195213
5615,1616,"Feature_Vector: [0.0, 0.0, 0.0, 0.42846915125846863, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.27673348784446716, 0.0]",1,tweet_1616_156800
2652,693,"Feature_Vector: [1.0, 1.0, 0.0, 0.17689046263694763, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3096611201763153, 0.0]",1,tweet_693_386071
2611,9526,"Feature_Vector: [1.0, 1.0, 0.0, 0.3750326335430145, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.4491249620914459, 0.0]",1,tweet_9526_73088
491,4991,"Feature_Vector: [1.0, 0.0, 0.0, 0.5038406252861023, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.30350956320762634, 0.0]",1,tweet_4991_11826
7779,4118,"Feature_Vector: [1.0, 1.0, 0.0, 0.37539729475975037, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3954392671585083, 0.0]",1,tweet_4118_916232
4389,4389,"Feature_Vector: [0.0, 0.0, 0.0, 0.413474440574646, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.413474440574646, 0.0]",1,tweet_4389_1006406
4804,7173,"Feature_Vector: [1.0, 1.0, 0.0, 0.41047149896621704, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3484145998954773, 0.0]",1,tweet_7173_134163
2484,1494,"Feature_Vector: [1.0, 0.0, 0.0, 0.5070805549621582, 0.0]","Feature_Vector: [0.0, 0.0, 1.0, 0.606764554977417, 0.0]",1,tweet_1494_378850
1575,7242,"Feature_Vector: [1.0, 1.0, 0.0, 0.5012218356132507, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.4255574941635132, 0.0]",1,tweet_7242_345606
283,283,"Feature_Vector: [1.0, 1.0, 0.0, 0.43742451071739197, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.43742451071739197, 0.0]",1,tweet_283_759791
9665,3736,"Feature_Vector: [1.0, 1.0, 0.0, 0.29420316219329834, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.6534807682037354, 0.0]",1,tweet_3736_955371
8778,1885,"Feature_Vector: [0.0, 0.0, 0.0, 0.39251065254211426, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.533528208732605, 0.0]",1,tweet_1885_602768
8945,8945,"Feature_Vector: [0.0, 0.0, 0.0, 0.43050360679626465, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.43050360679626465, 0.0]",1,tweet_8945_939316
3429,9076,"Feature_Vector: [1.0, 1.0, 0.0, 0.3920254707336426, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.3339173197746277, 0.0]",3,tweet_9076_1310461
9535,5589,"Feature_Vector: [1.0, 1.0, 0.0, 0.2250405102968216, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3178894519805908, 0.0]",1,tweet_5589_630723
6468,7880,"Feature_Vector: [0.0, 0.0, 0.0, 0.36769765615463257, 0.0]","Feature_Vector: [1.0, 0.0, 1.0, 0.5543941855430603, 0.0]",1,tweet_7880_525340
2155,2753,"Feature_Vector: [1.0, 1.0, 0.0, 0.3578931391239166, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.39394164085388184, 0.0]",1,tweet_2753_365043
3119,5164,"Feature_Vector: [1.0, 1.0, 0.0, 0.3746655583381653, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.438764363527298, 0.0]",1,tweet_5164_402456
3956,5152,"Feature_Vector: [1.0, 1.0, 0.0, 0.3400883078575134, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.2681761384010315, 1.0]",1,tweet_5152_109017
5633,5633,"Feature_Vector: [1.0, 0.0, 1.0, 0.5882093906402588, 0.0]","Feature_Vector: [1.0, 0.0, 1.0, 0.5882093906402588, 0.0]",1,tweet_5633_872416
7833,8120,"Feature_Vector: [1.0, 1.0, 1.0, 0.4673459231853485, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.40211236476898193, 0.0]",1,tweet_8120_219120
1080,9839,"Feature_Vector: [1.0, 1.0, 0.0, 0.4078749120235443, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.44060203433036804, 0.0]",1,tweet_9839_27049
6853,6050,"Feature_Vector: [1.0, 1.0, 0.0, 0.44064778089523315, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3514956831932068, 0.0]",1,tweet_6050_192705
5240,7193,"Feature_Vector: [1.0, 1.0, 0.0, 0.16900572180747986, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.23098446428775787, 0.0]",2,tweet_7193_1344075
3004,7955,"Feature_Vector: [1.0, 1.0, 0.0, 0.2714817523956299, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.5409671664237976, 0.0]",1,tweet_7955_83054
544,544,"Feature_Vector: [0.0, 0.0, 0.0, 0.41893884539604187, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.41893884539604187, 0.0]",1,tweet_544_974421
7962,9625,"Feature_Vector: [1.0, 1.0, 0.0, 0.14888373017311096, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.40165776014328003, 0.0]",3,tweet_9625_1377200
4400,1432,"Feature_Vector: [1.0, 1.0, 0.0, 0.35409992933273315, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.17438268661499023, 0.0]",1,tweet_1432_121330
246,3021,"Feature_Vector: [1.0, 1.0, 0.0, 0.387342631816864, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3208335340023041, 0.0]",3,tweet_3021_1055403
5728,862,"Feature_Vector: [1.0, 1.0, 0.0, 0.2506343722343445, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.6098862886428833, 0.0]",1,tweet_862_495472
6770,4448,"Feature_Vector: [0.0, 0.0, 0.0, 0.30728039145469666, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.4123905897140503, 0.0]",1,tweet_4448_534713
4842,9526,"Feature_Vector: [1.0, 1.0, 0.0, 0.32982972264289856, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.4491249620914459, 0.0]",1,tweet_9526_135227
1449,162,"Feature_Vector: [1.0, 1.0, 0.0, 0.20216599106788635, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3626447319984436, 0.0]",1,tweet_162_338149
5482,1753,"Feature_Vector: [1.0, 1.0, 0.0, 0.49289149045944214, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.3738495409488678, 0.0]",1,tweet_1753_153884
1382,6685,"Feature_Vector: [1.0, 1.0, 0.0, 0.3003002405166626, 0.0]","Feature_Vector: [1.0, 0.0, 0.0, 0.7044991254806519, 0.0]",2,tweet_6685_1088307
3898,130,"Feature_Vector: [1.0, 1.0, 0.0, 0.35729509592056274, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.226075679063797, 0.0]",1,tweet_130_108086
