source_id,target_id,mediator_ids,full_path,hop_count
9875,5224,"[2489, 3831, 837, 9392]","[9875, 2489, 3831, 837, 9392, 5224]",5
4062,8739,"[7863, 3852, 7926, 8667]","[4062, 7863, 3852, 7926, 8667, 8739]",5
7573,913,"[8371, 9139, 9691, 10150, 137]","[7573, 8371, 9139, 9691, 10150, 137, 913]",6
3428,9770,"[6354, 4630]","[3428, 6354, 4630, 9770]",3
5984,3490,"[7688, 8579]","[5984, 7688, 8579, 3490]",3
4324,6896,"[5099, 6870]","[4324, 5099, 6870, 6896]",3
9166,7600,"[9012, 1125, 10064, 3260]","[9166, 9012, 1125, 10064, 3260, 7600]",5
5860,9815,"[7126, 7804]","[5860, 7126, 7804, 9815]",3
10146,786,"[114, 7288]","[10146, 114, 7288, 786]",3
1786,9642,"[266, 643, 8348]","[1786, 266, 643, 8348, 9642]",4
9778,8508,"[4806, 7241, 8123]","[9778, 4806, 7241, 8123, 8508]",4
4120,7407,"[1914, 7863, 9686, 6204]","[4120, 1914, 7863, 9686, 6204, 7407]",5
9382,8353,"[9300, 9471, 704, 10015, 8663]","[9382, 9300, 9471, 704, 10015, 8663, 8353]",6
3139,5734,"[8236, 2185]","[3139, 8236, 2185, 5734]",3
7031,6245,"[8245, 302, 473, 3131, 4361]","[7031, 8245, 302, 473, 3131, 4361, 6245]",6
10029,5432,"[4507, 932]","[10029, 4507, 932, 5432]",3
672,6421,"[6710, 8589, 6233]","[672, 6710, 8589, 6233, 6421]",4
6871,1539,"[5974, 1125, 2893, 5534, 7369]","[6871, 5974, 1125, 2893, 5534, 7369, 1539]",6
2587,4421,"[960, 1479]","[2587, 960, 1479, 4421]",3
5233,574,"[9974, 7445, 6720, 8556]","[5233, 9974, 7445, 6720, 8556, 574]",5
7148,7700,"[1851, 7773]","[7148, 1851, 7773, 7700]",3
8364,22,"[311, 7980, 5417]","[8364, 311, 7980, 5417, 22]",4
9249,8734,"[199, 8555]","[9249, 199, 8555, 8734]",3
7124,6542,"[8911, 106, 6859, 9688, 4702]","[7124, 8911, 106, 6859, 9688, 4702, 6542]",6
4914,4570,"[64, 8581, 8461]","[4914, 64, 8581, 8461, 4570]",4
5136,852,"[7024, 9472, 8480, 8479]","[5136, 7024, 9472, 8480, 8479, 852]",5
766,4563,"[5275, 1500]","[766, 5275, 1500, 4563]",3
4376,15,"[7395, 9704]","[4376, 7395, 9704, 15]",3
3574,3531,"[3153, 8038, 2308]","[3574, 3153, 8038, 2308, 3531]",4
7075,1165,"[9880, 9739, 6507]","[7075, 9880, 9739, 6507, 1165]",4
1139,3769,"[7604, 2458, 9936, 8296]","[1139, 7604, 2458, 9936, 8296, 3769]",5
4511,3290,"[4689, 2459, 1578]","[4511, 4689, 2459, 1578, 3290]",4
8195,10196,"[9656, 9855, 10156]","[8195, 9656, 9855, 10156, 10196]",4
41,1438,"[7906, 8053, 2108, 3175, 5519]","[41, 7906, 8053, 2108, 3175, 5519, 1438]",6
5035,9906,"[3023, 8250, 6049, 4335]","[5035, 3023, 8250, 6049, 4335, 9906]",5
5382,2601,"[8841, 9211, 9768, 2667, 9124]","[5382, 8841, 9211, 9768, 2667, 9124, 2601]",6
6159,9586,"[6197, 6416]","[6159, 6197, 6416, 9586]",3
896,10140,"[7696, 10102]","[896, 7696, 10102, 10140]",3
5156,9418,"[7382, 8296, 7019]","[5156, 7382, 8296, 7019, 9418]",4
3071,179,"[8556, 8935]","[3071, 8556, 8935, 179]",3
7270,901,"[9092, 9234, 9467, 97, 3168]","[7270, 9092, 9234, 9467, 97, 3168, 901]",6
165,3340,"[4347, 7432]","[165, 4347, 7432, 3340]",3
8339,4352,"[8714, 7303]","[8339, 8714, 7303, 4352]",3
6669,8660,"[7439, 6621, 7880, 9469, 7723]","[6669, 7439, 6621, 7880, 9469, 7723, 8660]",6
6617,7700,"[8397, 7879, 6194, 6260]","[6617, 8397, 7879, 6194, 6260, 7700]",5
2678,2880,"[8378, 2538, 423, 9789]","[2678, 8378, 2538, 423, 9789, 2880]",5
8231,876,"[8621, 9339, 5788, 4687, 9395]","[8231, 8621, 9339, 5788, 4687, 9395, 876]",6
6754,6050,"[9674, 491, 9961]","[6754, 9674, 491, 9961, 6050]",4
8415,4976,"[8696, 9018, 7633, 8172, 8434]","[8415, 8696, 9018, 7633, 8172, 8434, 4976]",6
5597,10198,"[6413, 6765]","[5597, 6413, 6765, 10198]",3
4387,9511,"[7538, 553, 7684, 8555]","[4387, 7538, 553, 7684, 8555, 9511]",5
4189,7419,"[1166, 7700, 4218]","[4189, 1166, 7700, 4218, 7419]",4
137,7034,"[1222, 4729, 4826, 9779, 6233]","[137, 1222, 4729, 4826, 9779, 6233, 7034]",6
759,7700,"[8787, 10103, 10175]","[759, 8787, 10103, 10175, 7700]",4
7684,3767,"[22, 5944, 6511, 8230]","[7684, 22, 5944, 6511, 8230, 3767]",5
2669,6802,"[3518, 5628, 2014]","[2669, 3518, 5628, 2014, 6802]",4
681,4947,"[5417, 7538, 7308, 7766]","[681, 5417, 7538, 7308, 7766, 4947]",5
5637,2617,"[3430, 5511, 6715]","[5637, 3430, 5511, 6715, 2617]",4
569,4057,"[7014, 8281, 9373]","[569, 7014, 8281, 9373, 4057]",4
510,8091,"[722, 6754]","[510, 722, 6754, 8091]",3
6257,8595,"[6365, 2557, 5150]","[6257, 6365, 2557, 5150, 8595]",4
2765,8455,"[4601, 8371]","[2765, 4601, 8371, 8455]",3
8073,659,"[8039, 753, 5901]","[8073, 8039, 753, 5901, 659]",4
7426,7916,"[1438, 1757]","[7426, 1438, 1757, 7916]",3
8904,2488,"[4016, 3340, 3769, 3627]","[8904, 4016, 3340, 3769, 3627, 2488]",5
5697,2557,"[290, 9690, 9339, 7550]","[5697, 290, 9690, 9339, 7550, 2557]",5
4339,5482,"[2180, 4395, 2934, 2584, 7006]","[4339, 2180, 4395, 2934, 2584, 7006, 5482]",6
2683,4537,"[4699, 3678, 9927, 3319, 15]","[2683, 4699, 3678, 9927, 3319, 15, 4537]",6
9601,643,"[4466, 3741, 8038, 8818]","[9601, 4466, 3741, 8038, 8818, 643]",5
4153,8094,"[4674, 6769, 7499, 5972]","[4153, 4674, 6769, 7499, 5972, 8094]",5
6640,1984,"[8231, 8527]","[6640, 8231, 8527, 1984]",3
3256,10105,"[5131, 1697, 5130, 5057, 5324]","[3256, 5131, 1697, 5130, 5057, 5324, 10105]",6
2396,2759,"[9752, 7405, 9891]","[2396, 9752, 7405, 9891, 2759]",4
3514,3584,"[1202, 7901, 6929]","[3514, 1202, 7901, 6929, 3584]",4
950,3487,"[8950, 9878, 9976]","[950, 8950, 9878, 9976, 3487]",4
1176,6627,"[3560, 4171]","[1176, 3560, 4171, 6627]",3
9330,10096,"[8750, 3113, 7569, 7946]","[9330, 8750, 3113, 7569, 7946, 10096]",5
7086,2180,"[10102, 10140]","[7086, 10102, 10140, 2180]",3
9003,9929,"[10162, 8488, 3816, 6, 4326]","[9003, 10162, 8488, 3816, 6, 4326, 9929]",6
6689,643,"[8619, 3632]","[6689, 8619, 3632, 643]",3
9814,5083,"[9895, 10149]","[9814, 9895, 10149, 5083]",3
7942,9760,"[3487, 5972, 7087, 5197, 7533]","[7942, 3487, 5972, 7087, 5197, 7533, 9760]",6
6835,2308,"[8346, 8056]","[6835, 8346, 8056, 2308]",3
7358,9463,"[9995, 2584, 3773]","[7358, 9995, 2584, 3773, 9463]",4
5237,846,"[2860, 4879]","[5237, 2860, 4879, 846]",3
1124,9616,"[6774, 7224, 9015]","[1124, 6774, 7224, 9015, 9616]",4
6032,3635,"[8777, 1828]","[6032, 8777, 1828, 3635]",3
4246,9126,"[9024, 9392, 6280, 3632]","[4246, 9024, 9392, 6280, 3632, 9126]",5
9024,4106,"[9926, 7955, 3527]","[9024, 9926, 7955, 3527, 4106]",4
9469,2470,"[1000, 3316, 3119, 9738]","[9469, 1000, 3316, 3119, 9738, 2470]",5
3512,7369,"[5791, 3099]","[3512, 5791, 3099, 7369]",3
9653,5202,"[8296, 3769]","[9653, 8296, 3769, 5202]",3
879,3632,"[3507, 9798, 9837, 9997]","[879, 3507, 9798, 9837, 9997, 3632]",5
252,6272,"[4414, 6755, 7969]","[252, 4414, 6755, 7969, 6272]",4
580,9135,"[5365, 9126, 7243, 5252, 901]","[580, 5365, 9126, 7243, 5252, 901, 9135]",6
6898,6874,"[8469, 9048, 5005, 7087, 2584]","[6898, 8469, 9048, 5005, 7087, 2584, 6874]",6
7574,4666,"[7310, 7715, 3487, 3448]","[7574, 7310, 7715, 3487, 3448, 4666]",5
1076,9966,"[2246, 3822, 7086, 8523, 9944]","[1076, 2246, 3822, 7086, 8523, 9944, 9966]",6
630,5241,"[10193, 9877]","[630, 10193, 9877, 5241]",3
7825,9290,"[8896, 8923, 7700]","[7825, 8896, 8923, 7700, 9290]",4
8341,22,"[3632, 644]","[8341, 3632, 644, 22]",3
4073,7844,"[8296, 8347, 9596]","[4073, 8296, 8347, 9596, 7844]",4
4063,5032,"[6794, 4524]","[4063, 6794, 4524, 5032]",3
5151,37,"[4038, 6347]","[5151, 4038, 6347, 37]",3
2801,10030,"[5151, 8781, 2267, 5199]","[2801, 5151, 8781, 2267, 5199, 10030]",5
3214,1494,"[633, 7865, 8692, 8921]","[3214, 633, 7865, 8692, 8921, 1494]",5
7550,8623,"[8995, 3249, 5304, 8196, 5253]","[7550, 8995, 3249, 5304, 8196, 5253, 8623]",6
1512,8703,"[7700, 7593, 22, 10049]","[1512, 7700, 7593, 22, 10049, 8703]",5
7878,10010,"[8250, 9639, 2860]","[7878, 8250, 9639, 2860, 10010]",4
7750,5417,"[9511, 7095, 8966]","[7750, 9511, 7095, 8966, 5417]",4
6574,9560,"[4809, 7700, 6284]","[6574, 4809, 7700, 6284, 9560]",4
7972,7781,"[10023, 151]","[7972, 10023, 151, 7781]",3
547,6049,"[8392, 4236, 8466]","[547, 8392, 4236, 8466, 6049]",4
5163,6408,"[2867, 8667, 5871]","[5163, 2867, 8667, 5871, 6408]",4
6698,6720,"[7903, 8455, 8758, 9358]","[6698, 7903, 8455, 8758, 9358, 6720]",5
2613,9334,"[6547, 3769, 6460]","[2613, 6547, 3769, 6460, 9334]",4
4727,7897,"[6536, 7599]","[4727, 6536, 7599, 7897]",3
1073,10196,"[6416, 7402, 4524, 9234]","[1073, 6416, 7402, 4524, 9234, 10196]",5
9758,6407,"[6883, 10128, 3531, 1914]","[9758, 6883, 10128, 3531, 1914, 6407]",5
5127,3599,"[9210, 9885, 10188]","[5127, 9210, 9885, 10188, 3599]",4
5777,7954,"[9766, 7166]","[5777, 9766, 7166, 7954]",3
3464,9619,"[5767, 2753]","[3464, 5767, 2753, 9619]",3
9114,6130,"[367, 9806, 5399]","[9114, 367, 9806, 5399, 6130]",4
64,10032,"[6805, 9377]","[64, 6805, 9377, 10032]",3
935,5164,"[9579, 6347, 9082]","[935, 9579, 6347, 9082, 5164]",4
8554,8685,"[3487, 6726]","[8554, 3487, 6726, 8685]",3
10026,5093,"[4368, 675]","[10026, 4368, 675, 5093]",3
6572,8940,"[8120, 9912, 2860, 231, 1864]","[6572, 8120, 9912, 2860, 231, 1864, 8940]",6
10039,9033,"[1741, 1946, 6564, 9612, 9876]","[10039, 1741, 1946, 6564, 9612, 9876, 9033]",6
703,2893,"[418, 7087]","[703, 418, 7087, 2893]",3
7872,6087,"[9571, 7441, 7162, 960]","[7872, 9571, 7441, 7162, 960, 6087]",5
9867,6780,"[8588, 2139, 7045, 9240, 5645]","[9867, 8588, 2139, 7045, 9240, 5645, 6780]",6
10175,8366,"[3632, 8480, 4472]","[10175, 3632, 8480, 4472, 8366]",4
2517,9758,"[4033, 8006, 9638]","[2517, 4033, 8006, 9638, 9758]",4
2917,7613,"[8719, 311]","[2917, 8719, 311, 7613]",3
7480,5918,"[9249, 9576]","[7480, 9249, 9576, 5918]",3
592,1251,"[1664, 7889, 5241, 6966, 5750]","[592, 1664, 7889, 5241, 6966, 5750, 1251]",6
4603,5734,"[4702, 9975, 9673]","[4603, 4702, 9975, 9673, 5734]",4
8714,877,"[7435, 8466, 960, 1599, 6145]","[8714, 7435, 8466, 960, 1599, 6145, 877]",6
3557,6387,"[4991, 8409, 311, 9300]","[3557, 4991, 8409, 311, 9300, 6387]",5
5642,1908,"[1931, 749]","[5642, 1931, 749, 1908]",3
6619,4104,"[2186, 5482, 10004, 3290, 3527]","[6619, 2186, 5482, 10004, 3290, 3527, 4104]",6
8841,9174,"[9211, 7943, 8940, 2154, 7779]","[8841, 9211, 7943, 8940, 2154, 7779, 9174]",6
2364,9896,"[8198, 9244]","[2364, 8198, 9244, 9896]",3
3261,6252,"[7555, 8201, 3292, 4309, 8737]","[3261, 7555, 8201, 3292, 4309, 8737, 6252]",6
3276,9421,"[877, 6600, 6797, 5845]","[3276, 877, 6600, 6797, 5845, 9421]",5
4274,9397,"[2180, 5235]","[4274, 2180, 5235, 9397]",3
1666,1550,"[442, 10014, 10038]","[1666, 442, 10014, 10038, 1550]",4
9606,6627,"[10160, 10188, 3179, 5815]","[9606, 10160, 10188, 3179, 5815, 6627]",5
3619,7870,"[4589, 4890]","[3619, 4589, 4890, 7870]",3
7060,5875,"[8480, 8186, 4024]","[7060, 8480, 8186, 4024, 5875]",4
2206,6720,"[4192, 9908, 1984, 6893]","[2206, 4192, 9908, 1984, 6893, 6720]",5
4524,5099,"[9139, 9839]","[4524, 9139, 9839, 5099]",3
6180,7723,"[4928, 3274, 5228]","[6180, 4928, 3274, 5228, 7723]",4
6383,643,"[7329, 9921, 10046, 3632]","[6383, 7329, 9921, 10046, 3632, 643]",5
8379,9657,"[7538, 4583]","[8379, 7538, 4583, 9657]",3
5932,10140,"[7741, 9966, 10081]","[5932, 7741, 9966, 10081, 10140]",4
8671,2876,"[2155, 6408, 24, 2248, 3290]","[8671, 2155, 6408, 24, 2248, 3290, 2876]",6
7353,2180,"[9591, 9696, 1991, 10190]","[7353, 9591, 9696, 1991, 10190, 2180]",5
6268,6056,"[8472, 9534, 3116, 3961]","[6268, 8472, 9534, 3116, 3961, 6056]",5
1896,652,"[7698, 5972, 7637]","[1896, 7698, 5972, 7637, 652]",4
10048,6601,"[9550, 1578, 282, 28]","[10048, 9550, 1578, 282, 28, 6601]",5
8034,8556,"[9940, 6729]","[8034, 9940, 6729, 8556]",3
7790,1570,"[3278, 9900, 8733, 7956, 7713]","[7790, 3278, 9900, 8733, 7956, 7713, 1570]",6
6401,5417,"[6942, 6939]","[6401, 6942, 6939, 5417]",3
9871,4444,"[3049, 51]","[9871, 3049, 51, 4444]",3
3041,8574,"[1069, 7716]","[3041, 1069, 7716, 8574]",3
9347,5002,"[9605, 2180, 5786]","[9347, 9605, 2180, 5786, 5002]",4
3502,3582,"[5087, 9681]","[3502, 5087, 9681, 3582]",3
2052,10065,"[5439, 5966, 7859, 8172]","[2052, 5439, 5966, 7859, 8172, 10065]",5
4707,6401,"[2391, 5633]","[4707, 2391, 5633, 6401]",3
6700,7856,"[8717, 9480, 569]","[6700, 8717, 9480, 569, 7856]",4
1349,10044,"[2125, 8600]","[1349, 2125, 8600, 10044]",3
6501,1086,"[7606, 9937, 5417, 4111, 7952]","[6501, 7606, 9937, 5417, 4111, 7952, 1086]",6
5790,6720,"[8296, 8420, 8806]","[5790, 8296, 8420, 8806, 6720]",4
6786,4814,"[9811, 9957, 8783]","[6786, 9811, 9957, 8783, 4814]",4
5249,9843,"[3632, 8480, 6979, 1227, 8235]","[5249, 3632, 8480, 6979, 1227, 8235, 9843]",6
9924,5246,"[1791, 4342]","[9924, 1791, 4342, 5246]",3
1420,8888,"[6012, 6018]","[1420, 6012, 6018, 8888]",3
1322,4335,"[9377, 9397, 8540, 8250]","[1322, 9377, 9397, 8540, 8250, 4335]",5
7359,3983,"[5241, 9020, 2800, 7715, 7955]","[7359, 5241, 9020, 2800, 7715, 7955, 3983]",6
8709,1575,"[4319, 7521]","[8709, 4319, 7521, 1575]",3
4091,6686,"[4302, 5809]","[4091, 4302, 5809, 6686]",3
1304,4133,"[7698, 1586, 5451, 287, 8553]","[1304, 7698, 1586, 5451, 287, 8553, 4133]",6
2620,5241,"[3632, 643, 5793]","[2620, 3632, 643, 5793, 5241]",4
9603,4135,"[4457, 9572]","[9603, 4457, 9572, 4135]",3
1115,8269,"[4857, 9714, 1166, 3263, 6261]","[1115, 4857, 9714, 1166, 3263, 6261, 8269]",6
4330,7737,"[9957, 5262, 9427, 652, 1494]","[4330, 9957, 5262, 9427, 652, 1494, 7737]",6
4317,4267,"[4833, 2032, 5427, 5417, 652]","[4317, 4833, 2032, 5427, 5417, 652, 4267]",6
1539,10011,"[3290, 5525, 9671]","[1539, 3290, 5525, 9671, 10011]",4
1300,8142,"[4668, 8104]","[1300, 4668, 8104, 8142]",3
2177,792,"[6283, 6091, 3136, 994, 1522]","[2177, 6283, 6091, 3136, 994, 1522, 792]",6
9248,6976,"[10055, 6069]","[9248, 10055, 6069, 6976]",3
6039,2860,"[9528, 10150, 5594, 4195, 6837]","[6039, 9528, 10150, 5594, 4195, 6837, 2860]",6
3668,7880,"[5523, 8773, 7445, 6526]","[3668, 5523, 8773, 7445, 6526, 7880]",5
8371,7102,"[9430, 5784]","[8371, 9430, 5784, 7102]",3
989,8909,"[2234, 6220, 9342, 8142, 3383]","[989, 2234, 6220, 9342, 8142, 3383, 8909]",6
1994,6784,"[9152, 9869, 3179, 4556]","[1994, 9152, 9869, 3179, 4556, 6784]",5
1298,796,"[4317, 8629, 3632, 8480, 4687]","[1298, 4317, 8629, 3632, 8480, 4687, 796]",6
3465,4230,"[2142, 9529, 7626, 3527, 9768]","[3465, 2142, 9529, 7626, 3527, 9768, 4230]",6
7393,6678,"[9977, 5200, 6817, 5241, 7460]","[7393, 9977, 5200, 6817, 5241, 7460, 6678]",6
4771,2397,"[7566, 8867, 2876, 2753]","[4771, 7566, 8867, 2876, 2753, 2397]",5
6124,3873,"[7344, 9649, 1914, 9601]","[6124, 7344, 9649, 1914, 9601, 3873]",5
462,6275,"[2880, 287, 5679, 1998]","[462, 2880, 287, 5679, 1998, 6275]",5
9773,10190,"[5565, 3993, 4214, 5310, 6801]","[9773, 5565, 3993, 4214, 5310, 6801, 10190]",6
7335,8949,"[8198, 8203, 1984, 6873]","[7335, 8198, 8203, 1984, 6873, 8949]",5
4575,8366,"[5647, 1578, 3153, 8085]","[4575, 5647, 1578, 3153, 8085, 8366]",5
4499,6226,"[1304, 2692, 8777, 3487]","[4499, 1304, 2692, 8777, 3487, 6226]",5
6891,4921,"[8182, 5944, 1578, 10146, 9160]","[6891, 8182, 5944, 1578, 10146, 9160, 4921]",6
8592,5122,"[1864, 4236, 3632, 8480, 2019]","[8592, 1864, 4236, 3632, 8480, 2019, 5122]",6
4118,6069,"[593, 1202, 7939, 8705, 1729]","[4118, 593, 1202, 7939, 8705, 1729, 6069]",6
1768,9961,"[5885, 8596, 9693]","[1768, 5885, 8596, 9693, 9961]",4
2431,1811,"[9876, 9942, 4879, 5130, 5519]","[2431, 9876, 9942, 4879, 5130, 5519, 1811]",6
4664,4868,"[8235, 1830, 4279, 960]","[4664, 8235, 1830, 4279, 960, 4868]",5
7644,8974,"[5307, 967, 9645]","[7644, 5307, 967, 9645, 8974]",4
1748,4033,"[2106, 8711, 960, 9505]","[1748, 2106, 8711, 960, 9505, 4033]",5
7026,6874,"[7524, 4849, 9624, 9126, 9695]","[7026, 7524, 4849, 9624, 9126, 9695, 6874]",6
7693,1158,"[9211, 1494, 3441, 5200, 876]","[7693, 9211, 1494, 3441, 5200, 876, 1158]",6
6927,4673,"[8347, 9802, 9377, 9961]","[6927, 8347, 9802, 9377, 9961, 4673]",5
1711,2784,"[2315, 2860]","[1711, 2315, 2860, 2784]",3
7652,8480,"[6475, 8239, 3632]","[7652, 6475, 8239, 3632, 8480]",4
4754,356,"[8568, 461, 4242, 7465, 560]","[4754, 8568, 461, 4242, 7465, 560, 356]",6
882,6118,"[5534, 3028, 10177]","[882, 5534, 3028, 10177, 6118]",4
7820,5983,"[9129, 10065, 4792, 8574, 1272]","[7820, 9129, 10065, 4792, 8574, 1272, 5983]",6
9160,5293,"[1607, 9843, 2028, 2821]","[9160, 1607, 9843, 2028, 2821, 5293]",5
474,9912,"[6537, 8940, 86]","[474, 6537, 8940, 86, 9912]",4
3001,9304,"[7647, 8176, 5417]","[3001, 7647, 8176, 5417, 9304]",4
8589,7510,"[5, 7225, 10126, 4814]","[8589, 5, 7225, 10126, 4814, 7510]",5
6333,3814,"[4953, 8589]","[6333, 4953, 8589, 3814]",3
893,5367,"[8777, 3649, 3785]","[893, 8777, 3649, 3785, 5367]",4
5427,8274,"[667, 8807, 825]","[5427, 667, 8807, 825, 8274]",4
8976,5943,"[7692, 4707]","[8976, 7692, 4707, 5943]",3
8427,8454,"[9791, 2180, 5886, 8354]","[8427, 9791, 2180, 5886, 8354, 8454]",5
1590,3268,"[3159, 3632, 8480]","[1590, 3159, 3632, 8480, 3268]",4
3076,8172,"[7219, 8083]","[3076, 7219, 8083, 8172]",3
1847,7304,"[3632, 5099, 2948, 7251]","[1847, 3632, 5099, 2948, 7251, 7304]",5
8027,9850,"[2893, 7559, 9037, 9753]","[8027, 2893, 7559, 9037, 9753, 9850]",5
8426,9331,"[901, 3721, 3532]","[8426, 901, 3721, 3532, 9331]",4
201,693,"[2571, 9214, 8148]","[201, 2571, 9214, 8148, 693]",4
8795,272,"[106, 1748, 5252, 6233]","[8795, 106, 1748, 5252, 6233, 272]",5
4618,9520,"[7770, 1435]","[4618, 7770, 1435, 9520]",3
7939,6003,"[4573, 3541, 3465, 392, 6078]","[7939, 4573, 3541, 3465, 392, 6078, 6003]",6
4436,7249,"[2639, 5972, 10171, 1873]","[4436, 2639, 5972, 10171, 1873, 7249]",5
3575,9377,"[5755, 9992, 10165]","[3575, 5755, 9992, 10165, 9377]",4
7927,4017,"[4951, 7159, 6639, 9135]","[7927, 4951, 7159, 6639, 9135, 4017]",5
6990,4100,"[4175, 7768, 1688, 2379, 8739]","[6990, 4175, 7768, 1688, 2379, 8739, 4100]",6
6653,2587,"[9688, 3962, 6947, 913]","[6653, 9688, 3962, 6947, 913, 2587]",5
3801,10189,"[7975, 1066, 9880, 4368, 287]","[3801, 7975, 1066, 9880, 4368, 287, 10189]",6
9239,6319,"[8366, 3653, 4111, 8045, 3393]","[9239, 8366, 3653, 4111, 8045, 3393, 6319]",6
5838,5567,"[7210, 4419]","[5838, 7210, 4419, 5567]",3
2588,48,"[6923, 6990, 8966, 2054]","[2588, 6923, 6990, 8966, 2054, 48]",5
2849,5972,"[8377, 3632, 5099]","[2849, 8377, 3632, 5099, 5972]",4
1600,10156,"[6402, 9334, 10081]","[1600, 6402, 9334, 10081, 10156]",4
9813,6145,"[5705, 7308]","[9813, 5705, 7308, 6145]",3
1369,6408,"[6276, 1891, 4033]","[1369, 6276, 1891, 4033, 6408]",4
2547,2488,"[960, 7308, 9177, 3900]","[2547, 960, 7308, 9177, 3900, 2488]",5
1311,4772,"[9398, 2214, 9585, 80]","[1311, 9398, 2214, 9585, 80, 4772]",5
2814,7880,"[4694, 4755, 1693, 8612]","[2814, 4694, 4755, 1693, 8612, 7880]",5
8886,6500,"[2601, 4670]","[8886, 2601, 4670, 6500]",3
1215,4699,"[9765, 1202, 3678]","[1215, 9765, 1202, 3678, 4699]",4
6610,10110,"[9214, 4495, 4957]","[6610, 9214, 4495, 4957, 10110]",4
1144,9991,"[8038, 2014, 1107, 3388]","[1144, 8038, 2014, 1107, 3388, 9991]",5
8157,10009,"[9377, 9912]","[8157, 9377, 9912, 10009]",3
4061,1741,"[8964, 9993, 9331, 2598, 3763]","[4061, 8964, 9993, 9331, 2598, 3763, 1741]",6
3966,6694,"[6320, 9837, 6902, 5579]","[3966, 6320, 9837, 6902, 5579, 6694]",5
10159,4687,"[3873, 2027, 10025]","[10159, 3873, 2027, 10025, 4687]",4
7343,5552,"[7143, 6009, 2880]","[7343, 7143, 6009, 2880, 5552]",4
1954,9955,"[6380, 8139]","[1954, 6380, 8139, 9955]",3
5199,9903,"[1274, 7207, 246, 5035, 6286]","[5199, 1274, 7207, 246, 5035, 6286, 9903]",6
7489,2158,"[7547, 8299]","[7489, 7547, 8299, 2158]",3
1675,876,"[6275, 7304, 8454, 10103, 2934]","[1675, 6275, 7304, 8454, 10103, 2934, 876]",6
3823,3339,"[1984, 5972, 8750, 8542]","[3823, 1984, 5972, 8750, 8542, 3339]",5
10119,2667,"[3632, 644, 8600, 7369]","[10119, 3632, 644, 8600, 7369, 2667]",5
7799,6957,"[4673, 3393]","[7799, 4673, 3393, 6957]",3
7966,9686,"[994, 3020, 7010, 7202, 2027]","[7966, 994, 3020, 7010, 7202, 2027, 9686]",6
5795,4399,"[9604, 6152]","[5795, 9604, 6152, 4399]",3
8909,6401,"[2749, 7238, 9353]","[8909, 2749, 7238, 9353, 6401]",4
3186,9667,"[1392, 6989, 123, 6896, 6691]","[3186, 1392, 6989, 123, 6896, 6691, 9667]",6
710,4887,"[9052, 5850, 9338, 886]","[710, 9052, 5850, 9338, 886, 4887]",5
5262,5201,"[6624, 806, 9975, 8296]","[5262, 6624, 806, 9975, 8296, 5201]",5
6238,883,"[8211, 8341, 8364, 7563]","[6238, 8211, 8341, 8364, 7563, 883]",5
7055,4399,"[5912, 5965, 6433, 8486, 1800]","[7055, 5912, 5965, 6433, 8486, 1800, 4399]",6
